"edad","sexo","nrodepen","fonopart","fonolab","autovaluo","esaval","tieneaval","antiguedad","tiporenta","dpto","morosidad"
64,"F",4,"Si","Si","No","Si","No",46,"Fijo","Lima","Moroso"
66,"F",0,"No","No","No","No","No",46,"Fijo","Lima","No Moroso"
66,"F",0,"No","No","No","Si","No",46,"Fijo","Lima","No Moroso"
68,"F",1,"Si","Si","Si","Si","Si",46,"Fijo","Lima","No Moroso"
65,"F",5,"No","Si","No","No","No",45,"Fijo","Lima","Moroso"
67,"F",2,"No","No","Si","Si","No",45,"Fijo","Lima","No Moroso"
65,"M",0,"No","Si","No","No","No",44,"Fijo","Lima","No Moroso"
57,"M",5,"No","No","No","No","No",43,"Fijo","Lima","Moroso"
61,"F",0,"No","No","No","No","No",43,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","Si","No","Si",43,"Variable","Lima","No Moroso"
66,"F",2,"No","No","No","No","Si",43,"Fijo","Lima","No Moroso"
67,"F",0,"No","No","No","No","No",43,"Fijo","Lima","No Moroso"
74,"F",1,"No","Si","No","Si","No",43,"Fijo","Lima","Moroso"
75,"F",0,"No","Si","No","No","No",43,"Fijo","Lima","No Moroso"
60,"F",5,"No","Si","No","No","No",42,"Fijo","Lima","Moroso"
61,"F",0,"Si","Si","No","Si","No",42,"Fijo","Lima","No Moroso"
63,"M",0,"No","No","No","No","No",42,"Variable","Lima","No Moroso"
67,"M",5,"No","No","No","No","No",42,"Fijo","Lima","Moroso"
59,"F",3,"No","No","No","Si","Si",41,"Fijo","Lima","No Moroso"
60,"M",0,"Si","Si","No","No","Si",41,"Fijo","Lima","No Moroso"
62,"F",2,"No","Si","No","No","No",41,"Fijo","Lima","No Moroso"
65,"F",1,"No","No","No","No","Si",41,"Variable","Lima","No Moroso"
65,"F",0,"Si","No","No","Si","No",41,"Fijo","Lima","No Moroso"
66,"M",2,"No","No","No","Si","No",41,"Fijo","Lima","No Moroso"
66,"F",0,"Si","Si","No","Si","No",41,"Fijo","Lima","No Moroso"
69,"F",2,"No","No","No","No","No",41,"Fijo","Lima","No Moroso"
58,"F",1,"No","Si","No","Si","Si",40,"Fijo","Lima","Moroso"
59,"F",2,"Si","Si","No","No","No",40,"Fijo","Lima","No Moroso"
59,"M",0,"Si","Si","No","Si","Si",40,"Fijo","Lima","No Moroso"
63,"F",1,"Si","Si","No","Si","Si",40,"Fijo","Lima","No Moroso"
67,"F",0,"Si","Si","No","No","No",40,"Fijo","Lima","No Moroso"
69,"F",4,"No","Si","No","No","No",40,"Fijo","Lima","Moroso"
75,"F",0,"No","Si","No","No","No",40,"Fijo","Lima","No Moroso"
76,"F",2,"Si","No","No","Si","No",40,"Fijo","Lima","Moroso"
42,"M",5,"No","Si","No","No","No",39,"Fijo","Lima","Moroso"
55,"M",1,"No","Si","No","No","Si",39,"Fijo","Lima","No Moroso"
58,"M",0,"Si","Si","No","Si","No",39,"Fijo","Lima","No Moroso"
59,"F",1,"No","No","No","No","No",39,"Fijo","Lima","Moroso"
59,"F",0,"Si","Si","No","No","No",39,"Fijo","Lima","No Moroso"
60,"F",1,"Si","Si","No","Si","No",39,"Fijo","Lima","No Moroso"
62,"F",4,"Si","Si","No","Si","Si",39,"Fijo","Lima","Moroso"
66,"F",1,"Si","Si","No","No","No",39,"Fijo","Lima","Moroso"
74,"F",0,"Si","Si","No","No","No",39,"Fijo","Lima","No Moroso"
51,"F",4,"No","Si","No","No","Si",38,"Fijo","Lima","Moroso"
57,"M",1,"Si","Si","No","Si","Si",38,"Fijo","Lima","No Moroso"
58,"M",5,"No","Si","No","No","No",38,"Fijo","Lima","Moroso"
58,"M",4,"Si","Si","No","No","Si",38,"Fijo","Lima","Moroso"
58,"F",0,"Si","Si","No","No","No",38,"Fijo","Lima","No Moroso"
59,"F",5,"Si","Si","No","No","Si",38,"Fijo","Lima","Moroso"
60,"F",2,"No","No","No","No","No",38,"Fijo","Lima","No Moroso"
60,"F",2,"No","Si","No","No","No",38,"Fijo","Lima","No Moroso"
60,"M",0,"No","Si","No","Si","No",38,"Fijo","Lima","No Moroso"
61,"F",3,"No","No","Si","Si","Si",38,"Fijo","Lima","No Moroso"
61,"F",1,"Si","Si","No","Si","Si",38,"Fijo","Lima","No Moroso"
61,"F",0,"Si","Si","No","No","No",38,"Fijo","Lima","No Moroso"
62,"F",1,"No","Si","Si","No","Si",38,"Fijo","Lima","No Moroso"
65,"F",0,"No","No","No","No","No",38,"Fijo","Lima","No Moroso"
67,"M",5,"No","Si","No","No","No",38,"Fijo","Lima","Moroso"
67,"F",1,"No","Si","Si","Si","No",38,"Variable","Lima","No Moroso"
68,"M",1,"No","Si","No","No","No",38,"Fijo","Lima","No Moroso"
69,"F",2,"Si","Si","No","No","No",38,"Fijo","Lima","No Moroso"
69,"F",0,"No","No","No","No","No",38,"Fijo","Lima","No Moroso"
74,"F",1,"No","No","No","No","No",38,"Variable","Lima","No Moroso"
41,"M",2,"No","No","No","No","Si",37,"Variable","Lima","No Moroso"
57,"F",2,"Si","Si","No","No","No",37,"Fijo","Lima","No Moroso"
57,"F",0,"No","Si","Si","Si","Si",37,"Fijo","Lima","No Moroso"
58,"F",5,"No","Si","Si","No","No",37,"Fijo","Lima","Moroso"
58,"F",5,"No","Si","Si","No","No",37,"Variable","Lima","Moroso"
58,"F",2,"Si","Si","No","No","Si",37,"Fijo","Lima","No Moroso"
59,"F",2,"No","Si","No","Si","No",37,"Fijo","Lima","No Moroso"
60,"F",0,"No","No","No","Si","Si",37,"Fijo","Lima","No Moroso"
61,"F",5,"No","No","No","No","No",37,"Variable","Lima","Moroso"
61,"F",3,"No","Si","No","No","No",37,"Fijo","Lima","No Moroso"
61,"F",1,"No","Si","Si","Si","No",37,"Fijo","Lima","No Moroso"
62,"F",2,"Si","Si","No","Si","Si",37,"Fijo","Lima","No Moroso"
63,"F",1,"Si","Si","No","Si","No",37,"Fijo","Lima","No Moroso"
65,"F",1,"No","No","No","No","No",37,"Fijo","Lima","No Moroso"
75,"F",1,"No","No","No","No","No",37,"Fijo","Lima","No Moroso"
56,"F",3,"No","Si","No","No","No",36,"Fijo","Lima","No Moroso"
56,"F",1,"Si","No","No","Si","Si",36,"Fijo","Lima","No Moroso"
57,"M",2,"Si","Si","No","No","Si",36,"Fijo","Lima","No Moroso"
57,"F",2,"Si","Si","No","Si","Si",36,"Fijo","Lima","No Moroso"
59,"F",3,"No","Si","No","Si","Si",36,"Fijo","Lima","No Moroso"
59,"F",1,"Si","Si","No","Si","Si",36,"Fijo","Lima","No Moroso"
60,"F",0,"Si","No","No","Si","Si",36,"Fijo","Lima","No Moroso"
60,"F",0,"Si","Si","No","No","Si",36,"Fijo","Lima","No Moroso"
63,"F",2,"Si","Si","No","No","Si",36,"Fijo","Lima","No Moroso"
64,"F",1,"Si","Si","No","No","Si",36,"Fijo","Lima","No Moroso"
65,"F",0,"No","Si","No","Si","Si",36,"Fijo","Lima","No Moroso"
66,"F",0,"No","Si","No","No","No",36,"Fijo","Lima","No Moroso"
69,"F",5,"Si","Si","No","No","No",36,"Fijo","Lima","Moroso"
73,"F",5,"No","Si","No","No","No",36,"Fijo","Lima","Moroso"
53,"F",2,"No","Si","No","Si","No",35,"Fijo","Lima","No Moroso"
53,"F",1,"Si","No","No","No","No",35,"Fijo","Lima","No Moroso"
54,"F",4,"No","Si","No","No","Si",35,"Fijo","Lima","Moroso"
54,"F",3,"No","Si","No","No","No",35,"Fijo","Lima","No Moroso"
54,"F",2,"Si","Si","No","No","Si",35,"Fijo","Lima","No Moroso"
55,"M",2,"No","Si","No","No","No",35,"Fijo","Lima","No Moroso"
56,"F",0,"No","Si","No","No","Si",35,"Fijo","Lima","No Moroso"
59,"M",0,"No","Si","No","Si","No",35,"Fijo","Lima","No Moroso"
61,"F",0,"Si","Si","No","No","No",35,"Fijo","Lima","No Moroso"
62,"M",0,"No","Si","No","Si","No",35,"Fijo","Lima","No Moroso"
63,"F",4,"Si","Si","No","Si","Si",35,"Fijo","Lima","Moroso"
63,"M",2,"No","Si","No","Si","No",35,"Fijo","Lima","No Moroso"
63,"F",1,"Si","Si","No","No","No",35,"Fijo","Lima","No Moroso"
63,"F",1,"Si","Si","No","No","No",35,"Fijo","Lima","No Moroso"
64,"F",5,"No","No","No","Si","No",35,"Fijo","Lima","Moroso"
65,"F",5,"Si","Si","No","No","No",35,"Fijo","Lima","Moroso"
66,"M",2,"Si","No","No","No","No",35,"Fijo","Lima","No Moroso"
67,"F",1,"Si","No","No","No","No",35,"Fijo","Lima","No Moroso"
69,"F",5,"Si","No","No","Si","No",35,"Fijo","Lima","Moroso"
53,"F",2,"Si","Si","No","No","No",34,"Fijo","Lima","Moroso"
54,"M",2,"No","Si","Si","Si","No",34,"Fijo","Lima","No Moroso"
55,"F",5,"Si","Si","No","No","No",34,"Fijo","Lima","Moroso"
55,"F",2,"Si","No","No","Si","No",34,"Fijo","Lima","No Moroso"
56,"M",2,"No","Si","No","No","No",34,"Fijo","Lima","No Moroso"
58,"F",1,"Si","Si","No","Si","No",34,"Fijo","Lima","No Moroso"
58,"M",1,"No","Si","No","Si","No",34,"Fijo","Lima","No Moroso"
58,"F",0,"Si","Si","No","Si","Si",34,"Fijo","Lima","No Moroso"
59,"F",1,"Si","Si","No","No","No",34,"Fijo","Lima","Moroso"
60,"F",1,"Si","Si","No","No","No",34,"Fijo","Lima","No Moroso"
69,"F",0,"No","No","Si","No","No",34,"Variable","Lima","No Moroso"
30,"M",5,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
34,"M",4,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
38,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
42,"M",3,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
43,"M",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
44,"F",5,"No","Si","No","No","No",33,"Fijo","Lima","Moroso"
44,"M",2,"No","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
45,"M",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
45,"F",2,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
45,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
45,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
46,"M",5,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
47,"M",5,"Si","No","No","Si","Si",33,"Fijo","Lima","Moroso"
47,"F",1,"No","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
48,"M",3,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
48,"M",1,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
48,"M",0,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
49,"M",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
49,"M",5,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
49,"M",3,"Si","No","Si","No","No",33,"Fijo","Lima","No Moroso"
49,"F",3,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
50,"F",3,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
50,"F",2,"No","No","No","Si","No",33,"Fijo","Lima","No Moroso"
50,"M",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
50,"F",1,"Si","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
50,"F",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
50,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
51,"F",4,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
51,"M",4,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
51,"F",2,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
51,"F",2,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
51,"F",1,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
51,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
51,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
52,"F",4,"Si","No","No","No","Si",33,"Fijo","Lima","No Moroso"
52,"F",3,"No","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
52,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
52,"M",1,"Si","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
52,"M",1,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
52,"M",1,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
52,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
52,"F",0,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
52,"M",0,"Si","Si","Si","No","No",33,"Fijo","Lima","No Moroso"
52,"F",0,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
53,"M",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
53,"M",5,"Si","No","Si","Si","Si",33,"Fijo","Lima","Moroso"
53,"M",3,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
53,"M",3,"No","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
53,"F",2,"Si","Si","Si","No","No",33,"Fijo","Lima","No Moroso"
53,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
53,"F",0,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
53,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
54,"M",4,"No","Si","No","No","Si",33,"Fijo","Lima","Moroso"
54,"M",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
54,"M",1,"Si","Si","Si","No","No",33,"Fijo","Lima","No Moroso"
54,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
54,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
54,"F",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
54,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
55,"M",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
55,"F",5,"No","Si","No","No","No",33,"Fijo","Lima","Moroso"
55,"F",4,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
55,"M",3,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
55,"M",3,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
55,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
55,"M",2,"No","No","No","Si","No",33,"Fijo","Lima","Moroso"
55,"F",2,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
55,"M",2,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
55,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
55,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
56,"F",3,"No","No","No","Si","No",33,"Fijo","Lima","No Moroso"
56,"F",2,"Si","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
56,"M",2,"Si","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
56,"F",2,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
56,"M",2,"No","No","Si","No","No",33,"Variable","Lima","No Moroso"
56,"M",1,"Si","No","No","No","Si",33,"Fijo","Lima","No Moroso"
56,"F",1,"No","Si","No","No","No",33,"Fijo","Lima","Moroso"
56,"M",1,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
56,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
56,"F",0,"Si","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
56,"M",0,"Si","No","No","Si","Si",33,"Fijo","Lima","No Moroso"
56,"F",0,"Si","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
56,"M",0,"Si","Si","No","No","Si",33,"Fijo","Lima","No Moroso"
56,"F",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"F",5,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
57,"M",5,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
57,"F",4,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
57,"F",4,"No","No","No","No","Si",33,"Fijo","Lima","Moroso"
57,"M",4,"Si","No","No","Si","No",33,"Fijo","Lima","Moroso"
57,"M",3,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",3,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
57,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
57,"F",2,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
57,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
57,"F",1,"No","Si","No","No","No",33,"Fijo","Lima","Moroso"
57,"F",1,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",1,"Si","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
57,"M",1,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
57,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",0,"Si","Si","Si","Si","Si",33,"Fijo","Lima","No Moroso"
57,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
57,"M",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
58,"F",5,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
58,"F",5,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
58,"M",4,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
58,"M",4,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
58,"F",3,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
58,"M",2,"Si","No","No","Si","No",33,"Fijo","Lima","Moroso"
58,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
58,"F",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
58,"F",1,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
58,"M",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
58,"F",1,"Si","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
58,"F",1,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
58,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
58,"M",0,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
58,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
58,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
58,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"M",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
59,"M",5,"Si","Si","No","Si","No",33,"Fijo","Lima","Moroso"
59,"M",4,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
59,"F",3,"Si","No","Si","No","Si",33,"Fijo","Lima","No Moroso"
59,"F",2,"Si","No","No","Si","Si",33,"Fijo","Lima","No Moroso"
59,"F",2,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
59,"F",1,"No","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
59,"F",1,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
59,"F",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
59,"M",1,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
59,"F",1,"Si","No","No","Si","Si",33,"Fijo","Lima","No Moroso"
59,"M",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"M",0,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
59,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"M",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
59,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
60,"M",5,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
60,"F",5,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
60,"M",3,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",2,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",2,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",2,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",2,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
60,"F",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"M",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",1,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","Si","Si","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
60,"M",0,"Si","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
60,"M",0,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"M",0,"Si","Si","No","Si","Si",33,"Fijo","Lima","No Moroso"
60,"F",0,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
60,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",5,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
61,"M",4,"Si","No","No","No","No",33,"Fijo","Lima","Moroso"
61,"M",4,"Si","Si","No","Si","No",33,"Fijo","Lima","No Moroso"
61,"F",3,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",2,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",1,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",1,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
61,"F",1,"Si","Si","No","No","No",33,"Fijo","Lima","Moroso"
61,"F",1,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",1,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",1,"No","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","No","No","No","Si",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"No","No","No","Si","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"No","No","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"Si","No","No","Si","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"No","No","No","Si","No",33,"Fijo","Lima","No Moroso"
61,"F",0,"Si","Si","No","No","No",33,"Fijo","Lima","No Moroso"
61,"M",0,"No","No","No","Si","No",33,"Variable","Lima","No Moroso"
62,"M",5,"No","Si","No","No","Si",33,"Fijo","Lima","Moroso"
62,"M",5,"No","No","No","No","No",33,"Fijo","Lima","Moroso"
62,"F",4,"Si","No","No","No","No",33,"Fijo","Lima","No Moroso"
62,"F",2,"Si","No","Si","No","Si",33,"Fijo","Lima","No Moroso"
